,EDDF
EGLL,654.8
LFPG,449.0
EHAM,366.6
EDDF,0.0
LEMF,1422.1
LEBL,1093.6
EDDM,299.1
LIRF,958.1
EIDW,1086.9
ESSA,1223.0
LPPT,1873.8
EDDT,431.7
EFHK,1537.9
EPWA,896.2
EGPH,1032.9
LROP,1449.0
LGIR,2114.4
BIKF,2401.2
LICJ,1378.1
LPMA,2836.0
